IA Control,CCI,SRGID,STIGID,SRG Requirement,Requirement,SRG VulDiscussion,VulDiscussion,Status,SRG Check,Check,SRG Fix,Fix,Severity,Mitigation,Artifact Description,Status Justification
CM-7 a,CCI-000381,SRG-APP-000141-CTR-000320,,The container platform registry must contain only container images for those capabilities being offered by the container platform.,Images stored within the container registry must only contain images to be ran as containers within the container platform.,"Allowing container images to reside within the container platform registry that are not essential to the capabilities being offered by the container platform becomes a potential security risk. By allowing these non-essential container images to exist, the possibility for accidental instantiation exists. The images may be unpatched, not supported, or offer non-approved capabilities. Those images for customer services are considered essential capabilities.",,Not Applicable,"Review the container platform registry and the container images being stored. 

If container images are stored in the registry and are not being used to offer container platform capabilities, this is a finding.",,Remove all container images from the container platform registry that are not being used or contain features and functions not supported by the platform.,,CAT II,,https://docs.twistlock.com/docs/compute_edition/compliance/trusted_images.html,Can use Prisma Cloud Compute’s Trusted Images feature to support this requirement
CM-7 b,CCI-000382,SRG-APP-000142-CTR-000325,,"The container platform runtime must enforce ports, protocols, and services that adhere to the PPSM CAL.",Prisma Cloud Compute communication TCP ports must adhere to the PSSM CAL.,"Ports, protocols, and services within the container platform runtime must be controlled and conform to the PPSM CAL. Those ports, protocols, and services that fall outside the PPSM CAL must be blocked by the runtime. Instructions on the PPSM can be found in DoD Instruction 8551.01 Policy.",Prisma Cloud Compute TCP port usage is configurable. Default configuration: TCP 8081 Console user interface and API (HTTP) - disabled by default TCP 8083 Console user interface and API TLS v1.2 (HTTPS) TCP 8084 Console - to - Defender communication via mutual TLS v1.2 web socket session,Applicable - Configurable,"Review the container platform documentation and deployment configuration to determine which ports and protocols are enabled. 

Verify the ports and protocols being used are not prohibited by PPSM CAL in accordance to DoD Instruction 8551.01 Policy and are necessary for the operations and applications.

If any of the ports or protocols is prohibited or not necessary for the operation, this is a finding.","For Kubneretes deployment type kubectl describe pods <twistlock-console-pod--n <namespace-and verify the MANAGEMENT_PORT_HTTPS, MANAGEMENT_PORT_HTTP & COMMUNICATION_PORT values

If any of the ports do not adhere to the PPSM CAL this is a finding.",Configure the container platform to disable any ports or protocols that are prohibited by the PPSM CAL and not necessary for the operation.,Adjust the TCP port used by Prisma Cloud Compute to adhere to the PPSM CAL.,CAT II,,https://docs.twistlock.com/docs/compute_edition/howto/configure_listening_ports.html#overview,Prisma Cloud Compute Runtime Network policy can be used to enforce container port usage. https://docs.twistlock.com/docs/compute_edition/runtime_defense/runtime_defense_networking.html
CM-7 b,CCI-000382,SRG-APP-000142-CTR-000330,,The container platform runtime must enforce the use of ports that are non-privileged.,Prisma Cloud Compute must use TCP ports above 1024,"Privileged ports are those ports below 1024 and that require system privileges for their use. If containers are able to use these ports, the container must be run as a privileged user. The container platform must stop containers that try to map to these ports directly. Allowing non-privileged ports to be mapped to the container-privileged port is the allowable method when a certain port is needed. An example is mapping port 8080 externally to port 80 in the container.",Prisma Cloud Compute default TCP ports are 8083 (Console UI and API) and 8084 Console  to—Defender communication. To use TCP ports below 1024 the Console would have to be configured to use privileged ports.,Applicable - Configurable,"Review the container platform configuration and the containers within the platform by performing the following checks:

1. Verify the container platform is configured to disallow the use of privileged ports by containers.
2. Validate all containers within the container platform are using non-privileged ports.
3. Attempt to instantiate a container image that uses a privileged port.

If the container platform is not configured to disallow the use of privileged ports, this is a finding.

If the container platform has containers using privileged ports, this is a finding.

If the container platform allows containers to be instantiated that use privileged ports, this is a finding.","For Kubneretes deployment type kubectl describe pods <twistlock-console-pod--n <namespace-and verify the MANAGEMENT_PORT_HTTPS, MANAGEMENT_PORT_HTTP & COMMUNICATION_PORT values

If any of the ports are below 1024 this is a finding",Configure the container platform to disallow the use of privileged ports by containers. Move any containers that are using privileged ports to non-privileged ports.,Adjust the TCP port used by Prisma Cloud Compute to non-privileged ports.,CAT II,,https://docs.twistlock.com/docs/compute_edition/howto/configure_listening_ports.html#overview,
IA-2,CCI-000764,SRG-APP-000148-CTR-000335,,The container platform must uniquely identify and authenticate users.,"All Prisma Cloud Compute users must have a unique, individual account.","The container platform requires user accounts to perform container platform tasks. These tasks may pertain to the overall container platform or may be component-specific, thus requiring users to authenticate against those specific components. To ensure accountability and prevent unauthenticated access, users must be identified and authenticated to prevent potential misuse and compromise of the system.",Prisma Cloud Compute does not have a default account. During installation an administrator is created by the installer. This account can be removed once other accounts have been added.,Applicable - Configurable,"Review the container platform configuration to determine if users are uniquely identified and authenticated. 

If users are not uniquely identified or are not authenticated, this is a finding.",Navigate to Prisma Cloud Compute Manage -Authentication -Users and review that the account are unique for every user. If there are common accounts this is a finding.,Configure the container platform to uniquely identify and authenticate users.,Create accounts for each unique user of Prisma Cloud Compute,CAT II,,https://docs.twistlock.com/docs/compute_edition/authentication/authentication.html,
IA-2,CCI-000764,SRG-APP-000148-CTR-000340,,The container platform application program interface (API) must uniquely identify and authenticate users.,"All Prisma Cloud Compute users must have a unique, individual account to access the API.",The container platform requires user accounts to perform container platform tasks. These tasks are often performed through the container platform API. Protecting the API from users who are not authorized or authenticated is essential to keep the container platform stable. Protection of platform and application data and enhances the protections put in place for Denial-of Service (DoS) attacks.,Access to the Prisma Cloud Compute API requires authentication and authorization is role based.,Applicable - Inherently Meets,"Review the container platform configuration to determine if users are uniquely identified and authenticated before the API is executed. 

If users are not uniquely identified or are not authenticated, this is a finding.",,Configure the container platform to uniquely identify and authenticate users before container platform API access.,,CAT II,,https://docs.twistlock.com/docs/compute_edition/api/access_api.html,
IA-2,CCI-000764,SRG-APP-000148-CTR-000345,,The container platform must uniquely identify and authenticate processes acting on behalf of the users.,Prisma Cloud Compute Console must run as non-root user (uid 2674),"The container platform will instantiate a container image and use the user privileges given to the user used to execute the container. To ensure accountability and prevent unauthenticated access to containers, the user the container is using to execute must be uniquely identified and authenticated to prevent potential misuse and compromise of the system.",Containers not requiring root level permissions should run as a unique user account,Applicable - Configurable,"Review the container platform configuration to determine if processes acting on behalf of users are uniquely identified and authenticated. 

If processes acting on behalf of users are not uniquely identified or are not authenticated, this is a finding.",On the node in which the Prisma Cloud Compute Console container is running determine the process owner for “app/server” (ps -aux | grep “/app/server”) if the process is owned by root this is a finding.,Configure the container platform to uniquely identify and authenticate processes acting on behalf of users.,"	In the root directory of the extracted release tar file, modify the twistlock.cfg file's line RUN_CONSOLE_AS_ROOT=false

	Kubernetes deployment perform these additional steps

	When generating the twistlock_console.yaml deployment file supply the --run-as-user flag

linux/twistcli console export kubernetes --service-type ClusterIP --run-as-user 2674
modify the resulting twistlock_console.yaml file to include fsGroup: 2674 within the Deployment pod specification's securityContext
securityContext: fsGroup: 2674
Add runAsGroup: 2674 to the container specification's securityContext
securityContext: runAsUser: 2674 runAsGroup: 2674
",CAT II,,,The Prisma Cloud Compute Console containers can be configured to run as non-root user (uid 2674)
IA-2,CCI-000764,SRG-APP-000148-CTR-000350,,The container platform application program interface (API) must uniquely identify and authenticate processes acting on behalf of the users.,Prisma Cloud Compute API must require uniquely identifiable user authentication.,"The container platform API can be used to perform any task within the platform. Often, the API is used to create tasks that perform some kind of maintenance task and run without user interaction. To guarantee the task is authorized, it is important to authenticate the task. These tasks, even though executed without user intervention, run on behalf of a user and must run with the user's authorization. If tasks are allowed to be created without authentication, users could bypass authentication and authorization mechanisms put in place for user interfaces. This could lead to users gaining greater access than given to the user putting the container platform into a compromised state.",,Not Applicable,"Review the container platform API configuration to determine if processes acting on behalf of users are uniquely identified and authenticated. 

If processes acting on behalf of users are not uniquely identified or are not authenticated, this is a finding.",,Configure the container platform API to uniquely identify and authenticate processes acting on behalf of users.,,CAT II,,https://docs.twistlock.com/docs/compute_edition/api/access_api.html,All API endpoints require unique Prisma Cloud Compute authentication
IA-2 (1),CCI-000765,SRG-APP-000149-CTR-000355,,The container platform must use multifactor authentication for network access to privileged accounts.,Authentication to Prisma Cloud Compute must use multi-factor authentication,"Without the use of multifactor authentication, the ease of access to privileged functions is greatly increased.

Multifactor authentication requires using two or more factors to achieve authentication.

Factors include: 
(i) something a user knows (e.g., password/PIN); 
(ii) something a user has (e.g., cryptographic identification device, token); or 
(iii) something a user is (e.g., biometric).

A privileged account is defined as an information system account with authorizations of a privileged user.

Network access is defined as access to an information system by a user (or a process acting on behalf of a user) communicating through a network (e.g., local area network, wide area network, or the internet).","Multi-factor authentication is an added measure to ensure a privileged user account is compromised by an unauthorized user.

Prisma Cloud Compute supports direct x.509 (smartcard) multi-factor authentication.

Other forms of multi-factor authentication can be supported through SAML and OpenID Connect identity providers",Applicable - Configurable,"Review the container platform configuration to determine if the container platform is configured to use multifactor authentication for network access to privileged accounts. 

If the container platform does not use multifactor authentication for network access to privileged accounts, this is a finding.","Navigate to Prisma Cloud Compute Console’s Manage -Authentication -Users, x.509 users are local accounts. Ensure that the password to these accounts are complex and unknown to the user. If the user can authenticate with username / password this is a finding.",Configure the container platform to use multifactor authentication for network access to privileged accounts.,"Ensure the local accounts are configured for x.509 authentication. 

SAML and OpenID Connect accounts multi-factor authentication enforcement occurs on the identity provider.",CAT II,,"https://docs.twistlock.com/docs/compute_edition/authentication/oidc.html

https://docs.twistlock.com/docs/compute_edition/authentication/saml.html

https://docs.twistlock.com/docs/compute_edition/configure/authenticate_console_with_certs.html",
IA-2 (2),CCI-000766,SRG-APP-000150-CTR-000360,,The container platform must use multifactor authentication for network access to non-privileged accounts.,Authentication to Prisma Cloud Compute must use multi-factor authentication,"To ensure accountability and prevent unauthenticated access, non-privileged users must utilize multifactor authentication to prevent potential misuse and compromise of the system.

Multifactor authentication uses two or more factors to achieve authentication.

Factors include: 
(i) Something you know (e.g., password/PIN); 
(ii) Something you have (e.g., cryptographic identification device, token); or 
(iii) Something you are (e.g., biometric).

A non-privileged account is any information system account with authorizations of a non-privileged user.

Network access is any access to an application by a user (or process acting on behalf of a user) where said access is obtained through a network connection.

Applications integrating with the DoD Active Directory and utilize the DoD CAC are examples of compliant multifactor authentication solutions.","Multi-factor authentication is an added measure to ensure a user account is compromised by an unauthorized user.

Prisma Cloud Compute supports direct x.509 (smartcard) multi-factor authentication.

Other forms of multi-factor authentication can be supported through SAML and OpenID Connect identity providers",Applicable - Configurable,"Review the container platform configuration to determine if the container platform is configured to use multifactor authentication for network access to non-privileged accounts. 

If the container platform does not use multifactor authentication for network access to non-privileged accounts, this is a finding.","Navigate to Prisma Cloud Compute Console’s Manage -Authentication -Users, x.509 users are local accounts. Ensure that the password to these accounts are complex and unknown to the user. If the user can authenticate with username / password this is a finding.",Configure the container platform to use multifactor authentication for network access to non-privileged accounts.,"Ensure the local accounts are configured for x.509 authentication. 

SAML and OpenID Connect accounts multi-factor authentication enforcement occurs on the identity provider.",CAT II,,"https://docs.twistlock.com/docs/compute_edition/authentication/oidc.html

https://docs.twistlock.com/docs/compute_edition/authentication/saml.html

https://docs.twistlock.com/docs/compute_edition/configure/authenticate_console_with_certs.html",
IA-2 (3),CCI-000767,SRG-APP-000151-CTR-000365,,The container platform must use multifactor authentication for local access to privileged accounts.,Authentication to Prisma Cloud Compute must use multi-factor authentication,"To ensure accountability and prevent unauthenticated access, privileged users must utilize multifactor authentication to prevent potential misuse and compromise of the system.

Multifactor authentication is defined as using two or more factors to achieve authentication.

Factors include: 
(i) Something a user knows (e.g., password/PIN); 
(ii) Something a user has (e.g., cryptographic identification device, token); or 
(iii) Something a user is (e.g., biometric).

A privileged account is defined as an information system account with authorizations of a privileged user.

Local access is defined as access to an organizational information system by a user (or process acting on behalf of a user) communicating through a direct connection without the use of a network.",,Not Applicable,"Review the container platform configuration to determine if multifactor authentication is used for local access to privileged accounts. 

If multifactor authentication for local access to privileged accounts is not being used, this is a finding.",,Configure the container platform to use multifactor authentication for local access to privileged accounts.,,CAT II,,https://docs.twistlock.com/docs/compute_edition/configure/authenticate_console_with_certs.html,Access to Prisma Cloud Compute Console is network based. There is no local access to the application.
IA-2 (4),CCI-000768,SRG-APP-000152-CTR-000370,,The container platform must use multifactor authentication for local access to non-privileged accounts.,Authentication to Prisma Cloud Compute must use multi-factor authentication,"To ensure accountability, prevent unauthenticated access, and prevent misuse of the system, non-privileged users must utilize multi-factor authentication for local access.

Multifactor authentication is defined as using two or more factors to achieve authentication.

Factors include: 
(i) Something a user knows (e.g., password/PIN); 
(ii) Something a user has (e.g., cryptographic identification device, token); or 
(iii) Something a user is (e.g., biometric).

A non-privileged account is defined as an information system account with authorizations of a regular or non-privileged user.

Local access is defined as access to an organizational information system by a user (or process acting on behalf of a user) communicating through a direct connection without the use of a network.",,Not Applicable,"Review the container platform configuration to determine if multifactor authentication is used for local access to non-privileged accounts. 

If multifactor authentication for local access to non-privileged accounts is not being used, this is a finding.",,Configure the container platform to use multifactor authentication for local access to non-privileged accounts.,,CAT II,,https://docs.twistlock.com/docs/compute_edition/configure/authenticate_console_with_certs.html,Access to Prisma Cloud Compute Console is network based. There is no local access to the application.
IA-2 (5),CCI-000770,SRG-APP-000153-CTR-000375,,The container platform must ensure users are authenticated with an individual authenticator prior to using a group authenticator.,Prisma Cloud Compute must be configured with unique user accounts.,"To ensure individual accountability and prevent unauthorized access, application users must be individually identified and authenticated.

Individual accountability mandates that each user be uniquely identified. A group authenticator is a shared account or some other form of authentication that allows multiple unique individuals to access the application using a single account.

If an application allows or provides for group authenticators, it must first individually authenticate users prior to implementing group authenticator functionality.

Some applications may not need to provide a group authenticator; this is considered a matter of application design. In those instances where the application design includes the use of a group authenticator, this requirement will apply.

There may also be instances when specific user actions need to be performed on the information system without unique user identification or authentication. An example of this type of access is a web server, which contains publicly releasable information.","Sharing of accounts, for example group accounts, reduces the accountability and integrity of Prisma Cloud Compute ",Applicable - Configurable,"Review the container platform configuration to determine if the container platform is configured to ensure users are authenticated with an individual authenticator prior to using a group authenticator. 

If the container platform is not configured to ensure users are authenticated with an individual authenticator prior to using a group authenticator, this is a finding.",Navigate to Prisma Cloud Compute Console’s - Manage - Authentication users and review the accounts for uniqueness. If there are shared local accounts this is a finding.,Configure the container platform to ensure users are authenticated with an individual authenticator prior to using a group authenticator.,Remove the shared accounts and create an unique user account for every Prisma Cloud Compute user.,CAT II,,https://docs.twistlock.com/docs/compute_edition/authentication/assign_roles.html,Prisma Cloud Compute role assignment based upon group membership (LDAP & SAML) require user authentication. User identity is recorded in all audits 
IA-2 (8),CCI-001941,SRG-APP-000156-CTR-000380,,The container platform must use FIPS-validated SHA-1 or higher hash function to provide replay-resistant authentication mechanisms for network access to privileged accounts.,Communication to Prisma Cloud Compute’s UI and API must use TLS v1.2 or higher.,"A replay attack may enable an unauthorized user to gain access to the application. Authentication sessions between the authenticator and the application validating the user credentials must not be vulnerable to a replay attack.

Anti-replay is a cryptographically based mechanism; thus, it must use FIPS-approved algorithms. An authentication process resists replay attacks if it is impractical to achieve a successful authentication by recording and replaying a previous authentication message. Note that the anti-replay service is implicit when data contains monotonically increasing sequence numbers and data integrity is assured. Use of DoD PKI is inherently compliant with this requirement for user and device access. Use of Transport Layer Security (TLS), including application protocols such as HTTPS and DNSSEC, that use TLS/SSL as the underlying security protocol is also compliant.

Configure the information system to use the hash message authentication code (HMAC) algorithm for authentication services to Kerberos, SSH, web management tool, and any other access method.",Protection of users’ interaction with Prisma Cloud Compute must use protocol protections to ensure the confidentiality and integrity of the session in accordance with NIST SP800-52 guidance.,Applicable - Inherently Meets,"Review the container platform configuration to determine if the container platform is configured to use FIPS-validated SHA-1 or higher hash function to provide replay-resistant authentication mechanisms for network access to privileged accounts. 

If the container platform is not configured to use FIPS-validated SHA-1 or higher hash function to provide replay-resistant authentication mechanisms for network access to privileged accounts, this is a finding.",,Configure the container platform to use FIPS-validated SHA-1 or higher hash function to provide replay-resistant authentication mechanisms for network access to privileged accounts.,,CAT II,,,"Supported TLS cypher suites: TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384 TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA TLS_RSA_WITH_AES_256_GCM_SHA384 TLS_RSA_WITH_AES_256_CBC_SHA TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384
TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA"
IA-2 (9),CCI-001942,SRG-APP-000157-CTR-000385,,The container platform must implement replay-resistant authentication mechanisms for network access to non-privileged accounts.,Communication to Prisma Cloud Compute’s UI and API must use TLS v1.2 or higher.,"A replay attack may enable an unauthorized user to gain access to the application. Authentication sessions between the authenticator and the application validating the user credentials must not be vulnerable to a replay attack.

An authentication process resists replay attacks if it is impractical to achieve a successful authentication by recording and replaying a previous authentication message.

A non-privileged account is any operating system account with authorizations of a non-privileged user.

Techniques used to address this include protocols using nonces (e.g., numbers generated for a specific one-time use) or challenges (e.g., TLS, WS_Security). Additional techniques include time-synchronous or challenge-response one-time authenticators.",Protection of users’ interaction with Prisma Cloud Compute must use protocol protections to ensure the confidentiality and integrity of the session in accordance with NIST SP800-52 guidance.,Applicable - Inherently Meets,"Review the container platform configuration to determine if the container platform is configured to provide replay-resistant authentication mechanisms for network access to non-privileged accounts. 

If the container platform is not configured to provide replay-resistant authentication mechanisms for network access to non-privileged accounts, this is a finding.",,Configure the container platform to provide replay-resistant authentication mechanisms for network access to non-privileged accounts.,,CAT II,,,"Supported TLS cypher suites: TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384 TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA TLS_RSA_WITH_AES_256_GCM_SHA384 TLS_RSA_WITH_AES_256_CBC_SHA TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384
TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA"
IA-3,CCI-000778,SRG-APP-000158-CTR-000390,,The container platform must uniquely identify all network-connected nodes before establishing any connection.,Prisma Cloud Compute Console to Defender communication must be initiated by the Defender and must establish a mutually authenticated TLS v1.2 web socket session. ,"A container platform usually consists of multiple nodes. It is important for these nodes to be uniquely identified before a connection is allowed. Without identifying the nodes, unidentified or unknown nodes may be introduced, thereby facilitating malicious activity.",The Prisma Cloud Compute Console can only communicate with the Defenders it has deployed. The Defender can only communicate with the Console that deployed it. Mutual TLS authentication.,Applicable - Inherently Meets,"Review the container platform configuration to determine if the container platform uniquely identifies all nodes before establishing a connection. 

If the container platform is not configured to uniquely identify all nodes before establishing the connection, this is a finding.",,Configure the container platform to uniquely identify all nodes before establishing the connection.,,CAT II,,,Console — to— Defender communication via mutual TLS v1.2 web socket session
IA-4 e,CCI-000795,SRG-APP-000163-CTR-000395,,"The container platform must disable identifiers (individuals, groups, roles, and devices) after 35 days of inactivity.",Inactive Prisma Cloud Compute accounts must be disabled after 35 days of inactivity,"Inactive identifiers pose a risk to systems and applications. Attackers that are able to exploit an inactive identifier can potentially obtain and maintain undetected access to the application. Owners of inactive accounts will not notice if unauthorized access to their user account has been obtained.

Applications need to track periods of inactivity and disable application identifiers after 35 days of inactivity.

Management of user identifiers is not applicable to shared information system accounts (e.g., guest and anonymous accounts). It is commonly the case that a user account is the name of an information system account associated with an individual.

To avoid having to build complex user management capabilities directly into their application, wise developers leverage the underlying OS or other user account management infrastructure (AD, LDAP) that is already in place within the organization and meets organizational user account management requirements.","Inactive Prisma Cloud Compute accounts could be susceptible to compromise thus allowing an attacker to gain access to the application. Recommend using 3rd party identity providers (e.g. LDAP, x.509, SAML, OAuth) to support more robust identity management practices. ",Applicable - Does Not Meet,"Review the container platform configuration to determine if the container platform is configured to disable identifiers (individuals, groups, roles, and devices) after 35 days of inactivity. 

If identifiers are not disabled after 35 days of inactivity, this is a finding.",,"Configure the container platform to disable identifiers (individuals, groups, roles, and devices) after 35 days of inactivity.",,CAT II,"If Prisma Cloud Compute requires local accounts integration with organizations identity management policies and processes.  Recommend using external identity providers.",https://docs.twistlock.com/docs/compute_edition/authentication/authentication.html,If local accounts are used it is recommended to review the need for an account on a period basis.
IA-5 (1) (a),CCI-000205,SRG-APP-000164-CTR-000400,,The container platform must enforce a minimum 15-character password length.,Prisma Cloud Compute local accounts must enforce strong password requirements. ,"The shorter the password, the lower the number of possible combinations that need to be tested before the password is compromised.

Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts at guessing and brute-force attacks. Password length is one factor of several that helps to determine strength and how long it takes to crack a password. The shorter the password, the lower the number of possible combinations that need to be tested before the password is compromised.

Use of more characters in a password helps to exponentially increase the time and/or resources required to compromise the password.",Prisma Cloud Compute local accounts can be configured to require at least 12 character password lengths ,Applicable - Configurable,"Review the container platform configuration to determine if the container platform enforces a minimum 15-character password length. 

If the container platform does not enforce a 15-character password length, this is a finding.","Navigate to Prisma Cloud Compute Console’s Manage -Authentication -Logon, if the “Require strong passwords for local accounts” is set to “off” this is a finding.",Configure the container platform to enforce a minimum 15-character password length.,"Navigate to Prisma Cloud Compute Console’s Manage -Authentication -Logon, and set “Require strong passwords for local accounts” to “on”",CAT II,Recommend using external identity providers that provide that enforce the minimum password length of 15 characters,https://docs.twistlock.com/docs/compute_edition/configure/logon_settings.html,Minimum password length is 12 characters not the required 15.
IA-5 (1) (e),CCI-000200,SRG-APP-000165-CTR-000405,,The container platform must prohibit password reuse for a minimum of 10 generations.,Prisma Cloud Compute users’ passwords must not be reused,"Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts at guessing and brute-force attacks.

To meet password policy requirements, passwords need to be changed at specific policy-based intervals.

If the information system or application allows the user to consecutively reuse their password when that password has exceeded its defined lifetime, the result is a password that is not changed as per policy requirements.

The references for this check are:
NIST SP 800-53 :: IA-5 (1) (e)
NIST SP 800-53A :: IA-5 (1).1 (v)
NIST SP 800-53 Revision 4 :: IA-5 (1)
CNSS 1253","Prisma Cloud Compute does not remember a local user’s previous passwords. Recommend using 3rd party identity providers (e.g. LDAP, x.509, SAML, OAuth) to support more robust identity management practices. ",Applicable - Does Not Meet,"Review the container platform configuration to determine if it prohibits password reuse for a minimum of five generations. 

If the container platform does not prohibit password reuse for a minimum of five generations, this is a finding.",,Configure the container platform to prohibit password reuse for a minimum of five generations.,,CAT II,Recommend using external identity providers that prohibit password reuse.,https://docs.twistlock.com/docs/compute_edition/authentication/authentication.html,
IA-5 (1) (a),CCI-000192,SRG-APP-000166-CTR-000410,,The container platform must enforce password complexity by requiring that at least one uppercase character be used.,Prisma Cloud Compute local accounts must enforce password complexity with upper case requirements. ,"Use of a complex password helps to increase the time and resources required to compromise the password. Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts at guessing and brute-force attacks.

Password complexity is one factor of several that determine how long it takes to crack a password. The more complex the password is, the greater the number of possible combinations that need to be tested before the password is compromised.",Prisma Cloud Compute local accounts can be configured to require at least one upper case character.,Applicable - Configurable,"Review the container platform configuration to determine if it enforces password complexity by requiring that at least one uppercase character be used. 

If the container platform does not enforce password complexity by requiring that at least one uppercase character be used, this is a finding.","Navigate to Prisma Cloud Compute Console’s Manage -Authentication -Logon, if the “Require strong passwords for local accounts” is set to “off” this is a finding.",Configure the container platform to enforce password complexity by requiring that at least one uppercase character be used.,"Navigate to Prisma Cloud Compute Console’s Manage -Authentication -Logon, and set “Require strong passwords for local accounts” to “on”",CAT II,Enforces one uppercase character for local account password.,https://docs.twistlock.com/docs/compute_edition/configure/logon_settings.html,
IA-5 (1) (a),CCI-000193,SRG-APP-000167-CTR-000415,,The container platform must enforce password complexity by requiring that at least one lowercase character be used.,Prisma Cloud Compute local accounts must enforce password complexity with lower case requirements. ,"Use of a complex password helps to increase the time and resources required to compromise the password. Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts at guessing and brute-force attacks.

Password complexity is one factor of several that determine how long it takes to crack a password. The more complex the password, the greater the number of possible combinations that need to be tested before the password is compromised.",Prisma Cloud Compute local accounts can be configured to require at least one lower case character ,Applicable - Configurable,"Review the container platform configuration to determine if it enforces password complexity by requiring that at least one lowercase character be used. 

If the container platform does not enforce password complexity by requiring that at least one lowercase character be used, this is a finding.","Navigate to Prisma Cloud Compute Console’s Manage -Authentication -Logon, if the “Require strong passwords for local accounts” is set to “off” this is a finding.",Configure the container platform to enforce password complexity by requiring that at least one lowercase character be used.,"Navigate to Prisma Cloud Compute Console’s Manage -Authentication -Logon, and set “Require strong passwords for local accounts” to “on”",CAT II,Enforces one lower character for local account password.,https://docs.twistlock.com/docs/compute_edition/configure/logon_settings.html,
IA-5 (1) (a),CCI-000194,SRG-APP-000168-CTR-000420,,The container platform must enforce password complexity by requiring that at least one numeric character be used.,Prisma Cloud Compute local accounts must enforce password complexity with numeric character requirements. ,"Use of a complex password helps to increase the time and resources required to compromise the password. Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts at guessing and brute-force attacks.

Password complexity is one factor of several that determine how long it takes to crack a password. The more complex the password, the greater the number of possible combinations that need to be tested before the password is compromised.",Prisma Cloud Compute local accounts can be configured to require at least one numeric character ,Applicable - Configurable,"Review the container platform configuration to determine if it enforces password complexity by requiring that at least one numeric character be used. 

If the container platform does not enforce password complexity by requiring that at least one numeric character be used, this is a finding.","Navigate to Prisma Cloud Compute Console’s Manage -Authentication -Logon, if the “Require strong passwords for local accounts” is set to “off” this is a finding.",Configure the container platform to enforce password complexity by requiring that at least one numeric character be used.,"Navigate to Prisma Cloud Compute Console’s Manage -Authentication -Logon, and set “Require strong passwords for local accounts” to “on”",CAT II,Enforces one numeric character for local account password.,https://docs.twistlock.com/docs/compute_edition/configure/logon_settings.html,
IA-5 (1) (a),CCI-001619,SRG-APP-000169-CTR-000425,,The container platform must enforce password complexity by requiring that at least one special character be used.,Prisma Cloud Compute local accounts must enforce password complexity with a special character requirements. ,"Use of a complex password helps to increase the time and resources required to compromise the password. Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts at guessing and brute-force attacks.

Password complexity is one factor in determining how long it takes to crack a password. The more complex the password, the greater the number of possible combinations that need to be tested before the password is compromised.

Special characters are those characters that are not alphanumeric. Examples include ~ ! @ # $ % ^ *.",Prisma Cloud Compute local accounts can be configured to require at least one special character ,Applicable - Configurable,"Review the container platform configuration to determine if it enforces password complexity by requiring that at least one special character be used. 

If the container platform does not enforce password complexity by requiring that at least one special character be used, this is a finding.","Navigate to Prisma Cloud Compute Console’s Manage -Authentication -Logon, if the “Require strong passwords for local accounts” is set to “off” this is a finding.",Configure the container platform to enforce password complexity by requiring that at least one special character be used.,"Navigate to Prisma Cloud Compute Console’s Manage -Authentication -Logon, and set “Require strong passwords for local accounts” to “on”",CAT II,Enforces one special character for local account password.,https://docs.twistlock.com/docs/compute_edition/configure/logon_settings.html,"List of special characters: ~!@#$%^&*()-_=+|[{}];:'\"",<.>/?"""
IA-5 (1) (b),CCI-000195,SRG-APP-000170-CTR-000430,,The container platform must require the change of at least 15 of the total number of characters when passwords are changed.,Prisma Cloud Compute local accounts must enforce password complexity with each password change requiring at least 15 new characters requirements. ,"If the application allows the user to consecutively reuse extensive portions of passwords, this increases the chances of password compromise by increasing the window of opportunity for attempts at guessing and brute-force attacks.

The number of changed characters refers to the number of changes required with respect to the total number of positions in the current password. In other words, characters may be the same within the two passwords; however, the positions of the like characters must be different.",Prisma Cloud Compute local accounts can be configured to require at least 12 character password lengths ,Applicable - Does Not Meet,"Review the container platform configuration to determine if it requires the change of at least 15 of the total number of characters when passwords are changed. 

If the container platform does not require the change of at least 15 of the total number of characters when passwords are changed, this is a finding.",,Configure the container platform to require the change of at least 15 of the total number of characters when passwords are changed.,,CAT II,Recommend using external identity providers that provide that enforce the change of at 15 least characters every password change.,https://docs.twistlock.com/docs/compute_edition/configure/logon_settings.html,Capability does not exist for local accounts
