Control,Twistlock Feature,Twistlock Sub-Feature,Console UI Location,Twistlock API,Values,NIST SP800-53 Control ,ISO/IEC 27001 AND 15408,Cybersecurity Framework Version 1.1,NCCoE SP1800-19,FedRAMP,Notes,Twistlock Docs
,Firewall,"Cloud Native Network Firewall: Container
",Defend > Firewall > Cloud Native Network Firewall,/api/v1/policies/firewall/network/container,Allow | Alert | Prevent,,,,,,Container to Container layer 3 firewalling is based upon images. When the images spawn as container the CNNF rules are applied when TCP connections are established from the source container to the destination container,https://docs.twistlock.com/docs/latest/firewalls/cnnf.html
,,Cloud Native Network Firewall: Host,Defend > Firewall > CNNF for Hosts ,/api/v1/policies/firewall/network/host,Allow | Alert ,,,,,,"Set to ""Alert"" and create a policy for all App ""*"" communicating to all Apps ""*""",https://docs.twistlock.com/docs/latest/firewalls/cnnf_hosts.html
,Compliance ,Compliance Actions,Defend > Compliance > Container and Images > Policy,/api/v1/policies/compliance/container,Ignore | Alert | Block,CA-9(1) INTERNAL SYSTEM CONNECTIONS | SECURITY COMPLIANCE CHECKS,,,,,Ability to block the deployment of an image as a container based up compliance status. ,https://docs.twistlock.com/docs/latest/compliance/manage_compliance.html
,Vulnerabilities,Severity Based Actions,Defend > Vulnerabilities > Images > Policy,/api/v1/policies/vulnerability/images,Ignore | Alert | Block,CA-9(1) INTERNAL SYSTEM CONNECTIONS | SECURITY COMPLIANCE CHECKS,,,,,Ability to block the deployment of an image as a container based up vulnerability status. ,https://docs.twistlock.com/docs/latest/vulnerability_management/vuln_management_rules.html
,|,,,,,,,,,,,
CM - 2: Baseline Configuration,,,,,,https://nvd.nist.gov/800-53/Rev4/control/CM-2,,,,,,
,Backup & Restore,System Backups,Manage > System > Backup & Restore > System Backups,/api/v1/recovery/backup,daily | weekly monthly,CM-2(3) BASELINE CONFIGURATION | RETENTION OF PREVIOUS CONFIGURATIONS,,,,CM-2(3) BASELINE CONFIGURATION | RETENTION OF PREVIOUS CONFIGURATIONS,Automatic process,https://docs.twistlock.com/docs/latest/configure/disaster_recovery.html#configuring-automated-backups
,,Manual Backups,Manage > System > Backup & Restore > Manual Backups,/api/v1/recovery/backup,on demand backup,CM-2(3) BASELINE CONFIGURATION | RETENTION OF PREVIOUS CONFIGURATIONS,,,,CM-2(3) BASELINE CONFIGURATION | RETENTION OF PREVIOUS CONFIGURATIONS,Manual backup via UI or API call,https://docs.twistlock.com/docs/latest/configure/disaster_recovery.html#making-manual-backups
,Rule Filtering,All vulnerability and compliance rules,Defend ,,,"CM-2(7) BASELINE CONFIGURATION | CONFIGURE SYSTEMS, COMPONENTS, OR DEVICES FOR HIGH-RISK AREAS",,,,"CM-2(7) BASELINE CONFIGURATION | CONFIGURE SYSTEMS, COMPONENTS, OR DEVICES FOR HIGH-RISK AREAS","Twistlock vulnerability, compliance, runtime rules can be granularly applied to resources based upon their associated level of risk",
,|,,,,,,,,,,,
CM - 3 Configuration Change Control,,,,,,https://nvd.nist.gov/800-53/Rev4/control/CM-3,,,,,,
,Projects,Tenant Project,System > Projects,/api/v1/settings/projects,Tenant Project ,CM-3(2)	CONFIGURATION CHANGE CONTROL | TEST / VALIDATE / DOCUMENT CHANGES,,,,,Testing and evaluation environments can be monitored and controlled via a Twistlock Tenant Project configuration.,https://docs.twistlock.com/docs/latest/deployment_patterns/projects.html
,|,,,,,,,,,,,
CM - 5: Access Restriction for Change,,,,,,https://nvd.nist.gov/800-53/Rev4/control/CM-5,,,,,,
,Access Control,User Roles,Manage > Authentication > Users,/api/v1/users,Administrator | Operator | Defender Manager | Auditor | Dev Ops User | Access User | CI User,CM-5(1) ACCESS RESTRICTIONS FOR CHANGE | AUTOMATED ACCESS ENFORCEMENT / AUDITING,,,,CM-5(1) ACCESS RESTRICTIONS FOR CHANGE | AUTOMATED ACCESS ENFORCEMENT / AUDITING,"All Twistlock users are assigned a role, roles have assigned change controls",https://docs.twistlock.com/docs/latest/access_control/user_roles.html
,Access Control,Assign Roles,Manage > Authentication > Groups,/api/v1/groups,Administrator | Operator | Defender Manager | Auditor | Dev Ops User | Access User | CI User,CM-5(1) ACCESS RESTRICTIONS FOR CHANGE | AUTOMATED ACCESS ENFORCEMENT / AUDITING,,,,CM-5(1) ACCESS RESTRICTIONS FOR CHANGE | AUTOMATED ACCESS ENFORCEMENT / AUDITING,"Twistlock role mapping for Active Directory, OpenLDAP and SAML based groups can be applied, roles have assigned change controls",https://docs.twistlock.com/docs/latest/access_control/assign_roles.html
,|,,,,,,,,,,,
CM - 6: Configuration Settings,,,,,,https://nvd.nist.gov/800-53/Rev4/control/CM-6,,,,,,
,Compliance,Compliance Policy Templates,Defend > Compliance > Policy,/api/v1/static/vulnerabilities,300+ compliance checks available ,CM-6(1) CONFIGURATION SETTINGS | AUTOMATED CENTRAL MANAGEMENT / APPLICATION / VERIFICATION,,,,CM-6(1) CONFIGURATION SETTINGS | AUTOMATED CENTRAL MANAGEMENT / APPLICATION / VERIFICATION,"Using Twistlock Compliance Templates you can quickly enable the compliance rules that apply to an industry: GDPR, PIC, HIPAA & NIST SP 800-190. Ability to alert or block when a setting is deemed non-compliant",https://docs.twistlock.com/docs/latest/compliance/manage_compliance.html
,|,,,,,,,,,,,
CM - 7: Least Functionality,,,,,,https://nvd.nist.gov/800-53/Rev4/control/CM-7,,,,,,
,Runtime ,Container Policy,Defend > Runtime > Container Policy,/api/v1/policies/runtime/container,Disable | Alert | Prevent | Block,"CM-7(2) LEAST FUNCTIONALITY | PREVENT PROGRAM EXECUTION
CM-7(4) LEAST FUNCTIONALITY | UNAUTHORIZED SOFTWARE / BLACKLISTING",,,,CM-7(2) LEAST FUNCTIONALITY | PREVENT PROGRAM EXECUTION,"Manual and Automated whitelisting of processes, file system, system calls and networking behaviors. Twistlock Runtime defense is the set of features that provide both predictive and threat based active protection for running containers. For example, predictive protection includes capabilities like determining when a container runs a process not included in the origin image or creates an unexpected network socket. Threat based protection includes capabilities like detecting when malware is added to a container or when a container connects to a botnet.",https://docs.twistlock.com/docs/latest/runtime_defense/runtime_defense.html
,|,,,,,,,,,,,
CM - 8: Information System Component Inventory,,,,,,https://nvd.nist.gov/800-53/Rev4/control/CM-8,,,,,,
,Vulnerabilities,Configure scan intervals,Manage > System > Scan ,/api/v1/settings/scan,1 - 24 hours,CM-8(3) INFORMATION SYSTEM COMPONENT INVENTORY | AUTOMATED UNAUTHORIZED COMPONENT DETECTION,,,,CM-8(3) INFORMATION SYSTEM COMPONENT INVENTORY | AUTOMATED UNAUTHORIZED COMPONENT DETECTION,Scheduled frequency of when Twistlock scans to identify new images and containers,https://docs.twistlock.com/docs/latest/configure/configure_scan_intervals.html
,Vulnerabilities,Image,Monitor > Vulnerabilities,,,CM-8(5) INFORMATION SYSTEM COMPONENT INVENTORY | NO DUPLICATE ACCOUNTING OF COMPONENTS,,,,CM-8(5) INFORMATION SYSTEM COMPONENT INVENTORY | NO DUPLICATE ACCOUNTING OF COMPONENTS,"Twistlock automatically associates duplicate images if discovered local to the host, within a Docker registry or discovered during a CI build process",
,Deployment,Defenders,Manage > Defenders,/api/v1/defenders,,CM-8(3) INFORMATION SYSTEM COMPONENT INVENTORY | AUTOMATED UNAUTHORIZED COMPONENT DETECTION,,,,CM-8(3) INFORMATION SYSTEM COMPONENT INVENTORY | AUTOMATED UNAUTHORIZED COMPONENT DETECTION,"Deploy Twistlock Defenders using orchestration tools (e.g. Kubernetes, OpenShift, SWARM, etc.) to ensure Defenders are deployed to new scaled up nodes within the environment",https://docs.twistlock.com/docs/latest/install/install_defender.html
,|,,,,,,,,,,,
CM - 10: Software Usage Restrictions,,,,,,https://nvd.nist.gov/800-53/Rev4/control/CM-10,,,,,,
,Vulnerabilities,Images,Monitor > Vulnerabilities > Image > Package Info,/api/v1/containers/count,,CM-10(1) SOFTWARE USAGE RESTRICTIONS | OPEN SOURCE SOFTWARE,,"ID.SC-2: Suppliers and third party partners of information systems, components, and services are identified, prioritized, and assessed using a cyber supply chain risk assessment process ",,CM-10(1) SOFTWARE USAGE RESTRICTIONS | OPEN SOURCE SOFTWARE,"Twistlock image scan reposts include the package information: type, name, path within image, version, known CVEs and license. This information can be used to determine if Open Source software is used within the environment.",
,|,,,,,,,,,,,
CM - 11 User-Installed Software,,,,,,https://nvd.nist.gov/800-53/Rev4/control/CM-11,,,,,,
,Runtime ,Container Policy,Defend > Runtime > Container Policy,/api/v1/policies/runtime/container,Disable | Alert | Prevent | Block,CM-11(1) USER-INSTALLED SOFTWARE | ALERTS FOR UNAUTHORIZED INSTALLATIONS,,,,,"Twistlock can identify the software installation process from within a running container (e.g. apt-get, yum, etc).",https://docs.twistlock.com/docs/latest/runtime_defense/runtime_defense.html
,,Host Policy,Defend > Runtime > Host Policy  ,/api/v1/policies/runtime/host,Disable | Alert | Prevent ,CM-11(1) USER-INSTALLED SOFTWARE | ALERTS FOR UNAUTHORIZED INSTALLATIONS,,,,,"Anomalous app detection Twistlock learns the normal set of apps running on your hosts and automatically identifies apps added abnormally.
Monitor general activities, Docker commands, sshd and sudo commands
Service capabilities are Twistlock-curated units of process and file system actions that express the things that services routinely need to do. They can be independently enabled or disabled on a per-service basis, and provide fine-grained control over what a service can and cannot do.",https://docs.twistlock.com/docs/latest/runtime_defense/runtime_defense_hosts.html
,|,,,,,,,,,,,
CP - 2 Contingency Plan,,,,,,https://nvd.nist.gov/800-53/Rev4/control/CP-2,,"ID.AM-5: Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value 
",,,,
,Policy,Resource Filter,Defend > *all policies*,,Container | Host | Images | Labels,CP-2(8) CONTINGENCY PLAN | IDENTIFY CRITICAL ASSETS,,,,CP-2(8) CONTINGENCY PLAN | IDENTIFY CRITICAL ASSETS,All Twistlock rules have resource filters that let you target specific resources in your environment. You can identify the critical assets within your environment and apply specific policies to the assets.,https://docs.twistlock.com/docs/latest/vulnerability_management/vuln_management_rules.html#resource-filters
,|,,,,,,,,,,,
CP - 9: Information System Backup,,,,,,https://nvd.nist.gov/800-53/Rev4/control/CP-9,,"PR.IP-4: Backups of information are conducted, maintained, and tested ",,,,
,Backup & Restore,System Backups,Manage > System > Backup & Restore > System Backups,/api/v1/recovery/backup,daily | weekly monthly,"
CP-9(1)	INFORMATION SYSTEM BACKUP | TESTING FOR RELIABILITY / INTEGRITY",,,,"
CP-9(1)	INFORMATION SYSTEM BACKUP | TESTING FOR RELIABILITY / INTEGRITY","Automatic process, restoration can be performed from the Twistlock UI",https://docs.twistlock.com/docs/latest/configure/disaster_recovery.html#restoring-backups-from-the-console-ui
,,Manual Backups,Manage > System > Backup & Restore > Manual Backups,/api/v1/recovery/backup,on demand backup,"
CP-9(1)	INFORMATION SYSTEM BACKUP | TESTING FOR RELIABILITY / INTEGRITY",,,,"
CP-9(1)	INFORMATION SYSTEM BACKUP | TESTING FOR RELIABILITY / INTEGRITY",Manual backup and recovery via API call,https://docs.twistlock.com/docs/latest/configure/disaster_recovery.html#restoring-backups-from-twistcli
,|,,,,,,,,,,,
IA - 2: Identification and Authentication ,,,,,,https://nvd.nist.gov/800-53/Rev4/control/IA-2,,,,,,
,Authentication,SAML 2.0 Federation,Manage > Authentication > SAML,/api/v1/settings/saml,Enabled | Disabled,"IA-2(1)	IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS) | NETWORK ACCESS TO PRIVILEGED ACCOUNTS
&
IA-2(2)	IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS) | NETWORK ACCESS TO NON-PRIVILEGED ACCOUNTS",,,,"IA-2(1)	IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS) | NETWORK ACCESS TO PRIVILEGED ACCOUNTS
&
IA-2(2)	IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS) | NETWORK ACCESS TO NON-PRIVILEGED ACCOUNTS",Enforce Multi-factor authentication at SAML Identity Provider,https://docs.twistlock.com/docs/latest/api/api_reference.html#settings_saml_post
,,Active Directory and OpenLDAP,Manage > Authentication > LDAP,/api/v1/settings/ldap,Enabled | Disabled,"IA-2(1)	IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS) | NETWORK ACCESS TO PRIVILEGED ACCOUNTS
&
IA-2(2)	IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS) | NETWORK ACCESS TO NON-PRIVILEGED ACCOUNTS",,,,"IA-2(1)	IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS) | NETWORK ACCESS TO PRIVILEGED ACCOUNTS
&
IA-2(2)	IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS) | NETWORK ACCESS TO NON-PRIVILEGED ACCOUNTS",Enforce Mutli-factor authentication at LDAP Identity Provider,https://docs.twistlock.com/docs/latest/api/api_reference.html#settings_ldap_post
,,x.509 Smartcard authentication,Manage > Authentication > System Certificates > Advanced Features > Console Authentication,/api/v1/settings/trusted-certificates,"Advanced certificate configuration = show
Field #2 Console Authentication = certificate(s) of smartcard issuing CAs","IA-2(1)	IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS) | NETWORK ACCESS TO PRIVILEGED ACCOUNTS
&
IA-2(2)	IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS) | NETWORK ACCESS TO NON-PRIVILEGED ACCOUNTS
&
IA-2(12)	IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS) | ACCEPTANCE OF PIV CREDENTIALS",,,,"IA-2(1)	IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS) | NETWORK ACCESS TO PRIVILEGED ACCOUNTS
&
IA-2(2)	IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS) | NETWORK ACCESS TO NON-PRIVILEGED ACCOUNTS
&
IA-2(12)	IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS) | ACCEPTANCE OF PIV CREDENTIALS",Supports x.509 smartcard based authentication. PIV and CaC supported,https://docs.twistlock.com/docs/latest/api/api_reference.html#settings_trusted_certificates_post
,Console and API Access,TLS HSTS,,,,"IA-2(8) IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS) | NETWORK ACCESS TO PRIVILEGED ACCOUNTS - REPLAY RESISTANT
",,,,"IA-2(8) IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS) | NETWORK ACCESS TO PRIVILEGED ACCOUNTS - REPLAY RESISTANT
",Twistlock Console and API enforces HTTP Strict Transport Security,https://docs.twistlock.com/docs/latest/download/releases.html#2-3-78
,|,,,,,,,,,,,
IA - 5: Authenticator Management,,,,,,https://nvd.nist.gov/800-53/Rev4/control/IA-5,,,,,,
,Authentication ,Require strong passwords for local accounts,Manage > Authentication > Logon ,/api/v1/settings/logon,On | Off,IA-5(1) AUTHENTICATOR MANAGEMENT | PASSWORD-BASED AUTHENTICATION,,,,IA-5(1) AUTHENTICATOR MANAGEMENT | PASSWORD-BASED AUTHENTICATION,"Password should be at least 8 characters long and contain at least: one digit, one uppercase letter and one lowercase letter",
,,x.509 Smartcard authentication,Manage > Authentication > System Certificates > Advanced Features > Console Authentication,/api/v1/settings/trusted-certificates,"Advanced certificate configuration = show
Field #2 Console Authentication = certificate(s) of smartcard issuing CAs",IA-5(2) AUTHENTICATOR MANAGEMENT | PKI-BASED AUTHENTICATION,,,,IA-5(2) AUTHENTICATOR MANAGEMENT | PKI-BASED AUTHENTICATION,DoD CAC card Issuing CAs,https://docs.twistlock.com/docs/latest/api/api_reference.html#settings_trusted_certificates_post
,,Enable certificate revocation checking,Manage > Authentication > System Certificates > Advanced Features > Console Authentication,/api/v1/settings/trusted-certificates,on|off,IA-5(2) AUTHENTICATOR MANAGEMENT | PKI-BASED AUTHENTICATION,,,,IA-5(2) AUTHENTICATOR MANAGEMENT | PKI-BASED AUTHENTICATION,CRL and OCSP supported. Only enable when Twistlock Console is able to reach CDP endpoints,https://docs.twistlock.com/docs/latest/configure/custom_certs_console_access.html
,|,,,,,,,,,,,
IA - 8: Identification and Authentication (non-organizational users),,,,,,https://nvd.nist.gov/800-53/Rev4/control/IA-8,,,,,,
,,x.509 Smartcard authentication,Manage > Authentication > System Certificates > Advanced Features > Console Authentication,/api/v1/settings/trusted-certificates,"Advanced certificate configuration = show
Field #2 Console Authentication = certificate(s) of smartcard issuing CAs",IA-8(1)	IDENTIFICATION AND AUTHENTICATION (NON-ORGANIZATIONAL USERS) | ACCEPTANCE OF PIV CREDENTIALS FROM OTHER AGENCIES,,,,IA-8(1)	IDENTIFICATION AND AUTHENTICATION (NON-ORGANIZATIONAL USERS) | ACCEPTANCE OF PIV CREDENTIALS FROM OTHER AGENCIES,Multiple smartcard Issuing CAs can be imported allowing smartcard from different organizations to authenticate to the Twistlock Console and API,https://docs.twistlock.com/docs/latest/api/api_reference.html#settings_trusted_certificates_post
,|,,,,,,,,,,,
IR - 4 Incident Handling,,,,,,https://nvd.nist.gov/800-53/Rev4/control/IR-4,,DE.AE-2: Detected events are analyzed to understand attack targets and methods,,,,
,Runtime ,Container Policy,Defend > Runtime > Container Policy,/api/v1/policies/runtime/container,Disable | Alert | Prevent | Block,IR-4(1) INCIDENT HANDLING | AUTOMATED INCIDENT HANDLING PROCESSES,,,,IR-4(1) INCIDENT HANDLING | AUTOMATED INCIDENT HANDLING PROCESSES,Container runtime policy can take immediate action when an event is triggered. This will stop incidents while they are occurring.,https://docs.twistlock.com/docs/latest/runtime_defense/runtime_defense.html
,,Host Policy,Defend > Runtime > Host Policy  ,/api/v1/policies/runtime/host,Disable | Alert | Prevent ,IR-4(1) INCIDENT HANDLING | AUTOMATED INCIDENT HANDLING PROCESSES,,,,IR-4(1) INCIDENT HANDLING | AUTOMATED INCIDENT HANDLING PROCESSES,Host runtime policy can take immediate action when an event is triggered. This will stop incidents while they are occurring.,https://docs.twistlock.com/docs/latest/runtime_defense/runtime_defense_hosts.html
,,,,,,,,,,,,
IR - 5: Incident Monitoring,,,,,,https://nvd.nist.gov/800-53/Rev4/control/IR-5,,,,,,
,Runtime ,Incident Explorer,Monitor > Runtime > Incident Explorer,/api/v1/audits/incidents,,IR-5(1) INCIDENT MONITORING | AUTOMATED TRACKING / DATA COLLECTION / ANALYSIS,,DE.AE-5: Incident alert thresholds are established,,IR-5 INCIDENT MONITORING,"Incident Explorer elevates raw audit data to actionable security intelligence, enabling a more rapid and effective response to incidents. Rather than having to manually sift through reams of audit data, Incident Explorer automatically correlates individual events generated by the firewall and runtime sensors to identify unfolding attacks.",https://docs.twistlock.com/docs/latest/runtime_defense/incident_explorer.html
,,,,,,,,,,,,
IR - 6: Incident Reporting,,,,,,https://nvd.nist.gov/800-53/Rev4/control/IR-6,,DE.AE-5: Incident alert thresholds are established,,,,
,,,,,,,,,,,,
,Alerts,Alert Profiles,Manage > System > Alerts > Alert Labels,/api/v1/settings/alerts,"Alert Providers: email, Jira, Slack, Google Cloud Security Command Center, GCP Pub/Sub, PagerDuty, Webhook, AWS Security Hub, IBM Security Advisor",IR-6(1) INCIDENT REPORTING | AUTOMATED REPORTING,,,,IR-6(1) INCIDENT REPORTING | AUTOMATED REPORTING,"Twistlock Alert Profiles can send the various type of alerts (runtime, firewall, host, etc.) to the Incident Response stakeholder responsible to the type of incident.",https://docs.twistlock.com/docs/latest/audit/annotate_audits.html
,Logging,Syslog and Stdout logging supports detail reporting for vulnerability and compliance finding and all runtime process activity ,Manage > System > Logging,/api/v1/settings/logging,"Syslog: Enabled | Disabled
Stdout: Enabled | Disabled
Prometheus instrumentation: Enabled | Disabled
",IR-6(1) INCIDENT REPORTING | AUTOMATED REPORTING,,,,IR-6(1) INCIDENT REPORTING | AUTOMATED REPORTING,"Twistlock Syslog, Stdout and Prometheus instrumentation events can be captured by security information and event management system",https://docs.twistlock.com/docs/latest/audit/syslog_integration.html
,,,,,,,,,,,,
IR - 8: Incident Response Plan,,,,,,https://nvd.nist.gov/800-53/Rev4/control/IR-8,,RS.RP-1: Response plan is executed during or after an incident,,,,
,Runtime ,Container Policy,Defend > Runtime > Container Policy,/api/v1/policies/runtime/container,Disable | Alert | Prevent | Block,,,,,,Organization IR Plan can be expressed within a container runtime policy,https://docs.twistlock.com/docs/latest/runtime_defense/runtime_defense.html
,,Host Policy,Defend > Runtime > Host Policy  ,/api/v1/policies/runtime/host,Disable | Alert | Prevent ,,,,,,Organization IR Plan can be expressed within a host runtime policy,https://docs.twistlock.com/docs/latest/runtime_defense/runtime_defense_hosts.html
,,,,,,,,,,,,
MA - 4: Nonlocal Maintenance,,,,,,https://nvd.nist.gov/800-53/Rev4/control/MA-4,,,,,,
,Intelligence Stream,Enable operators to upload support logs directly to Twistlock,Manage > System > Intelligence,/api/v1/settings/intelligence,On | Off,,,,,,"Used for Twistlock Support. Information concerning maintenance issue and be performed through other methods (e.g. screen share session, telephone communication, etc.)",
,,,,,,,,,,,,
RA - 2: Security Categorization,,,,,,https://nvd.nist.gov/800-53/Rev4/control/RA-2,,,,,,
,Projects,Tenant Project,System > Projects,/api/v1/settings/projects,Tenant Project ,,,,,,Twistlock Tenant Projects can be used to catalogize instances of Twistlock based upon their security assessment level.,https://docs.twistlock.com/docs/latest/deployment_patterns/projects.html
,,,,,,,,,,,,
RA - 3: Risk Assessment,,,,,,https://nvd.nist.gov/800-53/Rev4/control/RA-3,,,,,,
,Custom Feeds,CVE Allow List,Manage > System > Custom Feeds > CVE Allow List,api/v1/feeds/custom/cve-allow-list,,,,,,,"Ability to control the reporting of vulnerabilities based upon risk assessment. Allow CVEs to existing for a specified period of time, after time expires the vulnerability will be alerted and rules can be based upon the CVE. System wide exception.",https://docs.twistlock.com/docs/latest/configure/custom_feeds.html#cve-allow-list
,Vulnerabilities,Image Policy CVE Exception,Defend > Vulnerabilities > Images : Policy > Advanced Settings,/api/v1/policies/vulnerability/images,,,,,,,Allow CVE exception within individual image vulnerability rules,https://docs.twistlock.com/docs/latest/vulnerability_management/vuln_management_rules.html
,,,,,,,,,,,,
RA - 5: Vulnerability Scanning,,,,,,https://nvd.nist.gov/800-53/Rev4/control/RA-5,,,,,,
,Intelligence Stream ,Enable automatic Twistlock Intelligence Stream Updates,Manage > System Intelligence > Enable online updates of Intelligence Stream,/api/v1/settings/intelligence,On | Off,RA-5(1)	VULNERABILITY SCANNING | UPDATE TOOL CAPABILITY,,"ID.RA-2: Cyber threat intelligence is received from information sharing forums and sources
RS.MI-3: Newly identified vulnerabilities are mitigated or documented as accepted risks

",,RA-5(1)	VULNERABILITY SCANNING | UPDATE TOOL CAPABILITY,"Recommend setting to ""On."" Twistlock can be deployed in a completely offline environment",https://docs.twistlock.com/docs/latest/tools/update_intel_stream_offline.html
,,Update frequency,,,,RA-5(2)	VULNERABILITY SCANNING | UPDATE BY FREQUENCY / PRIOR TO NEW SCAN / WHEN IDENTIFIED,,,,RA-5(2)	VULNERABILITY SCANNING | UPDATE BY FREQUENCY / PRIOR TO NEW SCAN / WHEN IDENTIFIED,Twistlock Intelligence Stream is updated at least once every 24 hours and will update when a vulnerability is posted by the upstream provider,
,Vulnerability,Defender architecture,,,,RA-5(5) VULNERABILITY SCANNING | PRIVILEGED ACCESS,,DE.CM-8: Vulnerability scans are performed,,RA-5(5) VULNERABILITY SCANNING | PRIVILEGED ACCESS,Twistlock Defender performs vulnerability scanning and runs as a container. Defender uses cgroups to cap resource usage at 512MB of RAM and 900 CPU shares; typical load is ~1-2% CPU and 20-40MB RAM,https://docs.twistlock.com/docs/latest/technology_overviews/defender_architecture.html
,,,,,,,,,,,,
SA - 4: Acquisition Process,,,,,,https://nvd.nist.gov/800-53/Rev4/control/SA-4,,,,,,
,Documentation,Twistlock Customer Documentation,,,,SA-4(1) ACQUISITION PROCESS | FUNCTIONAL PROPERTIES OF SECURITY CONTROLS,,,,SA-4(1) ACQUISITION PROCESS | FUNCTIONAL PROPERTIES OF SECURITY CONTROLS,"Access to Twistlock documentation requires authentication with the customer's Twistlock License Access Token. Every page within the Twistlock Console has a""?"" icon in the top right corner. This will open a new browser tab, authenticate to the documentation site and render the documentation pertaining to the current Twistlock Console screen. ",
,Documentation,Twistlock Reference Architecture Guide,,,,"SA-4(2) ACQUISITION PROCESS | DESIGN / IMPLEMENTATION INFORMATION FOR SECURITY CONTROLS
&
SA-4(9)	ACQUISITION PROCESS | FUNCTIONS / PORTS / PROTOCOLS / SERVICES IN USE",,,,"SA-4(2) ACQUISITION PROCESS | DESIGN / IMPLEMENTATION INFORMATION FOR SECURITY CONTROLS
&
SA-4(9)	ACQUISITION PROCESS | FUNCTIONS / PORTS / PROTOCOLS / SERVICES IN USE",Twistlock Reference Architecture Guide is available upon request.,
,Authentication,x.509 Smartcard authentication,Manage > Authentication > System Certificates > Advanced Features > Console Authentication,/api/v1/settings/trusted-certificates,"Advanced certificate configuration = show
Field #2 Console Authentication = certificate(s) of smartcard issuing CAs",SA-4(10)	ACQUISITION PROCESS | USE OF APPROVED PIV PRODUCTS,,,,SA-4(10)	ACQUISITION PROCESS | USE OF APPROVED PIV PRODUCTS,PIV and CaC smartcard authentication is supported,https://docs.twistlock.com/docs/latest/api/api_reference.html#settings_trusted_certificates_post
,,,,,,,,,,,,
SA - 10: Developer Configuration Management,,,,,,https://nvd.nist.gov/800-53/Rev4/control/SA-10,,,,,,
,Release,SHA-256 hash of Twistlock release tar file ,,,,SA-10(1) DEVELOPER CONFIGURATION MANAGEMENT | SOFTWARE / FIRMWARE INTEGRITY VERIFICATION,,,,SA-10(1) DEVELOPER CONFIGURATION MANAGEMENT | SOFTWARE / FIRMWARE INTEGRITY VERIFICATION,Twistlock Release site includes the SHA-256 for all releases. This can be used to validate the integrity of the Twistlock release tar.,https://docs.twistlock.com/docs/latest/download/releases.html
,,,,,,,,,,,,
SC - 2: Application Partitioning,,,,,,https://nvd.nist.gov/800-53/Rev4/control/SC-2,,,,,,
,Collections,Assigned Collections,Manage > Collections,/api/v1/collections,Multi-valued rule,,,,,,"Defender Manager, Auditor, DevOps User, Access User and CIUser roles can be assigned a collection thus only rendering data in the UI and via the API based upon the Collection Filter configured. Can be applied to Groups.",https://docs.twistlock.com/docs/latest/configure/collections.html
,Access Control,User Roles,Manage > Authentication > Users,/api/v1/users,Administrator | Operator | Defender Manager | Auditor | Dev Ops User | Access User | CI User,,,,,,All Twistlock users are assigned a role,https://docs.twistlock.com/docs/latest/access_control/user_roles.html
,Access Control,Assign Roles,Manage > Authentication > Groups,/api/v1/groups,Administrator | Operator | Defender Manager | Auditor | Dev Ops User | Access User | CI User,,,,,,"Twistlock role mapping for Active Directory, OpenLDAP and SAML based groups can be applied",https://docs.twistlock.com/docs/latest/access_control/assign_roles.html
,,,,,,,,,,,,
SI - 2: Flaw Remediation,,,,,,https://nvd.nist.gov/800-53/Rev4/control/SI-2,,,,,,
,Intelligence Stream ,Enable automatic Twistlock Intelligence Stream Updates,Manage > System Intelligence > Enable online updates of Intelligence Stream,/api/v1/settings/intelligence,On | Off,SI-2(2)	FLAW REMEDIATION | AUTOMATED FLAW REMEDIATION STATUS,,ID.RA-2: Cyber threat intelligence is received from information sharing forums and sources,,SI-2(2)	FLAW REMEDIATION | AUTOMATED FLAW REMEDIATION STATUS,Twistlock Intelligence Stream provides software publishers' vulnerability status and remediation version.,https://docs.twistlock.com/docs/latest/tools/update_intel_stream_offline.html
,Custom Feeds,CVE Allow List,Manage > System > Custom Feeds > CVE Allow List,api/v1/feeds/custom/cve-allow-list,,,,,,SI-2(3) FLAW REMEDIATION | TIME TO REMEDIATE FLAWS / BENCHMARKS FOR CORRECTIVE ACTIONS,System wide ability to assign a time to remediate a vulnerability ,https://docs.twistlock.com/docs/latest/configure/custom_feeds.html#cve-allow-list
