STIG ID        ,STIG Rule Title,STIG Severity,STIG Check Discussion,Prisma Cloud Compute Compliance Check ID ,Prisma Cloud Compute Compliance Check Description,Prisma Cloud Compute Severity
DKER-EE-005170,Docker Enterprise docker.service file ownership must be set to root:root.,CAT I,"Verify that the docker.service file ownership and group-ownership are correctly set to root.

docker.service file contains sensitive parameters that may alter the behavior of Docker daemon. Hence, it should be owned and group-owned by root to maintain the integrity of the file.

This file may not be present on the system. In that case, this recommendation is not applicable. By default, if the file is present, the ownership and group-ownership for this file is correctly set to root.",31,Verify that docker.service file ownership is set to root:root,High
DKER-EE-005180,Docker Enterprise docker.service file permissions must be set to 644 or more restrictive.,CAT II,"Verify that the docker.service file permissions are correctly set to 644 or more restrictive.

docker.service file contains sensitive parameters that may alter the behavior of Docker daemon. Hence, it should not be writable by any other user other than root to maintain the integrity of the file.

This file may not be present on the system. In that case, this recommendation is not applicable. By default, if the file is present, the file permissions are correctly set to 644.",32,Verify that docker.service file permissions are set to 644 or more restrictive,High
DKER-EE-005190,Docker Enterprise docker.socket file ownership must be set to root:root.,CAT I,"Verify that the docker.socket file ownership and group ownership is correctly set to root.

docker.socket file contains sensitive parameters that may alter the behavior of Docker remote API. Hence, it should be owned and group-owned by root to maintain the integrity of the file.

This file may not be present on the system. In that case, this recommendation is not applicable. By default, if the file is present, the ownership and group-ownership for this file is correctly set to root.",33,Verify that docker.socket file ownership is set to root:root,High
DKER-EE-005200,Docker Enterprise docker.socket file permissions must be set to 644 or more restrictive.,CAT II,"Verify that the docker.socket file permissions are correctly set to 644 or more restrictive.

docker.socket file contains sensitive parameters that may alter the behavior of Docker remote API. Hence, it should be writable only by root to maintain the integrity of the file.

This file may not be present on the system. In that case, this recommendation is not applicable. By default, if the file is present, the file permissions for this file are correctly set to 644.",34,Verify that docker.socket file permissions are set to 644 or more restrictive,High
DKER-EE-005210,Docker Enterprise /etc/docker directory ownership must be set to root:root.,CAT I,"Verify that the /etc/docker directory ownership and group-ownership is correctly set to root.

/etc/docker directory contains certificates and keys in addition to various sensitive files. Hence, it should be owned and group-owned by root to maintain the integrity of the directory.

By default, the ownership and group-ownership for this directory is correctly set to root.",35,Verify that /etc/docker directory ownership is set to root:root,High
DKER-EE-005220,Docker Enterprise /etc/docker directory permissions must be set to 755 or more restrictive.,CAT II,"Verify that the /etc/docker directory permissions are correctly set to 755 or more restrictive.

/etc/docker directory contains certificates and keys in addition to various sensitive files. Hence, it should only be writable by root to maintain the integrity of the directory.

By default, the permissions for this directory are correctly set to 755.",36,Verify that /etc/docker directory permissions are set to 755 or more restrictive,High
DKER-EE-005230,Docker Enterprise registry certificate file ownership must be set to root:root.,CAT I,"Verify that all the registry certificate files (usually found under /etc/docker/certs.d/<registry-name> directory) are owned and group-owned by root.

/etc/docker/certs.d/<registry-name> directory contains Docker registry certificates. These certificate files must be owned and group-owned by root to maintain the integrity of the certificates.

By default, the ownership and group-ownership for registry certificate files is correctly set to root.",37,Verify that registry certificate file ownership is set to root:root,High
DKER-EE-005240,Docker Enterprise registry certificate file permissions must be set to 444 or more restrictive.,CAT II,"Verify that all the registry certificate files (usually found under /etc/docker/certs.d/<registry-name> directory) have permissions of 444 or more restrictive.

/etc/docker/certs.d/<registry-name> directory contains Docker registry certificates. These certificate files must have permissions of 444 to maintain the integrity of the certificates.

By default, the permissions for registry certificate files might not be 444. The default file permissions are governed by the system or user specific umaskvalues.",38,Verify that registry certificate file permissions are set to 444 or more restrictive,High
DKER-EE-005310,Docker Enterprise socket file ownership must be set to root:docker.,CAT I,"Verify that the Docker socket file is owned by root and group-owned by docker.

Docker daemon runs as root. The default UNIX socket hence must be owned by root. If any other user or process owns this socket, then it might be possible for that non-privileged user or process to interact with Docker daemon. Also, such a non-privileged user or process might interact with containers. This is neither secure nor desired behavior.

Additionally, the Docker installer creates a UNIX group called docker. Users can be added to this group, and then those users would be able to read and write to default Docker UNIX socket. The membership to the docker group is tightly controlled by the system administrator. If any other group owns this socket, then it might be possible for members of that group to interact with Docker daemon. Also, such a group might not be as tightly controlled as the docker group. This is neither secure nor desired behavior.

Hence, the default Docker UNIX socket file must be owned by root and group-owned by docker to maintain the integrity of the socket file.

By default, the ownership and group-ownership for Docker socket file is correctly set to root:docker.",315,Verify that Docker socket file ownership is set to root:docker,High
DKER-EE-005320,Docker Enterprise socket file permissions must be set to 660 or more restrictive.,CAT I,"Verify that the Docker socket file has permissions of 660 or more restrictive.

Only root and members of docker group should be allowed to read and write to default Docker UNIX socket. Hence, the Docket socket file must have permissions of 660 or more restrictive.

By default, the permissions for Docker socket file is correctly set to 660.",316,Verify that Docker socket file permissions are set to 660 or more restrictive,High
DKER-EE-005330,Docker Enterprise daemon.json file ownership must be set to root:root.,CAT I,"Verify that the daemon.json file ownership and group-ownership is correctly set to root.

daemon.json file contains sensitive parameters that may alter the behavior of docker daemon. Hence, it should be owned and group-owned by root to maintain the integrity of the file.

This file may not be present on the system. In that case, this recommendation is not applicable.",317,Verify that daemon.json file ownership is set to root:root,High
DKER-EE-005340,Docker Enterprise daemon.json file permissions must be set to 644 or more restrictive.,CAT I,"Verify that the daemon.json file permissions are correctly set to 644 or more restrictive.

daemon.json file contains sensitive parameters that may alter the behavior of docker daemon. Hence, it should be writable only by root to maintain the integrity of the file.

This file may not be present on the system. In that case, this recommendation is not applicable.",318,Verify that daemon.json file permissions are set to 644 or more restrictive,High
DKER-EE-005350,Docker Enterprise /etc/default/docker file ownership must be set to root:root.,CAT I,"Verify that the /etc/default/docker file ownership and group-ownership is correctly set to root.

/etc/default/docker file contains sensitive parameters that may alter the behavior of docker daemon. Hence, it should be owned and group-owned by root to maintain the integrity of the file.

This file may not be present on the system. In that case, this recommendation is not applicable.",319,Verify that /etc/default/docker file ownership is set to root:root,High
DKER-EE-005360,Docker Enterprise /etc/default/docker file permissions must be set to 644 or more restrictive.,CAT I,"Verify that the /etc/default/docker file permissions are correctly set to 644 or more restrictive.

/etc/default/docker file contains sensitive parameters that may alter the behavior of docker daemon. Hence, it should be writable only by root to maintain the integrity of the file.

This file may not be present on the system. In that case, this recommendation is not applicable.",320,Verify that /etc/default/docker file permissions are set to 644 or more restrictive,High
DKER-EE-006270,Docker Enterprise Swarm services must be bound to a specific host interface.,CAT II,"By default, the docker swarm services will listen to all interfaces on the host, which may not be necessary for the operation of the swarm where the host has multiple network interfaces.

When a swarm is initialized the default value for the --listen-addr flag is 0.0.0.0:2377 which means that the swarm services will listen on all interfaces on the host. If a host has multiple network interfaces this may be undesirable as it may expose the docker swarm services to networks which are not involved in the operation of the swarm.

By passing a specific IP address to the --listen-addr, a specific network interface can be specified limiting this exposure.",217,Bind swarm services to a specific host interface,High
DKER-EE-002400,Docker Enterprise Swarm manager must be run in auto-lock mode.,CAT II,"Run Docker swarm manager in auto-lock mode.

When Docker restarts, both the TLS key used to encrypt communication among swarm nodes, and the key used to encrypt and decrypt Raft logs on disk, are loaded into each manager node's memory. Protect the mutual TLS encryption key and the key used to encrypt and decrypt Raft logs at rest. This protection could be enabled by initializing swarm with --autolock flag.

With --autolock enabled, when Docker restarts, unlock the swarm first, using a key encryption key generated by Docker when the swarm was initialized.",223,Run swarm manager in auto-lock mode,Medium
DKER-EE-004030,The on-failure container restart policy must be is set to 5 in Docker Enterprise.,CAT II,"Using the --restart flag in docker run command, specify a restart policy for how a container should or should not be restarted on exit. Choose the on-failure restart policy and limit the restart attempts to 5.

If indefinitely trying to start the container, it could possibly lead to a denial of service on the host. It could be an easy way to do a distributed denial of service attack especially if there are many containers on the same host. Additionally, ignoring the exit status of the container and always attempting to restart the container leads to non-investigation of the root cause behind containers getting terminated. If a container gets terminated, investigate on the reason behind it instead of just attempting to restart it indefinitely. Thus, it is recommended to use on-failure restart policy and limit it to maximum of 5 restart attempts.

The container would attempt to restart only for 5 times.

By default, containers are not configured with restart policies. Hence, containers do not attempt to restart of their own.",514,Do not set the 'on-failure' container restart policy to always,Medium
DKER-EE-001070,FIPS mode must be enabled on all Docker Engine - Enterprise nodes.,CAT I,"When FIPS mode is enabled on a Docker Engine - Enterprise node, it uses FIPS-validated cryptography to protect the confidentiality of remote access sessions to any bound TCP sockets with TLS enabled and configured. FIPS mode in Docker Engine - Enterprise is automatically enabled when FIPS mode is also enabled on the underlying host operating system.

This control is only configurable for the Docker Engine - Enterprise component of Docker Enterprise as only the Engine includes FIPS-validated cryptography. Neither Universal Control Plane (UCP) nor Docker Trusted Registry (DTR) include FIPS-validated cryptography at this time. However, both UCP and DTR will include FIPS-validated cryptography in a future release. Therefore, for UCP/DTR this control is applicable but not yet met.

Satisfies: SRG-APP-000015, SRG-APP-000231, SRG-APP-000014, SRG-APP-000570, SRG-APP-000395, SRG-APP-000514, SRG-APP-000416, SRG-APP-000156, SRG-APP-000172, SRG-APP-000179, SRG-APP-000224, SRG-APP-000411, SRG-APP-000412, SRG-APP-000555, SRG-APP-000635",701070,FIPS mode must be enabled on all Docker Engine - Enterprise nodes,Medium
DKER-EE-001190,Docker Enterprise sensitive host system directories must not be mounted on containers.,CAT II,"Sensitive host system directories such as below should not be allowed to be mounted as container volumes especially in read-write mode.

Linux:

/
/boot
/dev
/etc
/lib
/proc
/sys
/usr

Windows:

%windir% (C:\Windows)
%windir%\system32 (C:\Windows\system32)
%programdata%
%programData%\docker
C:\Program Files
C:\Program Files (x86)
C:\Users

If sensitive directories are mounted in read-write mode, it would be possible to make changes to files within those sensitive directories. The changes might bring down security implications or unwarranted changes that could put the Docker host in compromised state.

Docker defaults to a read-write volume but the user can also mount a directory read-only. By default, no sensitive host directories are mounted on containers.",55,Do not mount sensitive host system directories on containers,Critical
